name,customer_name,alias,customer_type,customer_group,territory,payment_terms,default_currency,tax_id,primary_address,customer_primary_contact,disabled
KH-00246,CÔNG TY TNHH IN ẤN SẢN XUẤT VÀ GIẢI PHÁP BAO BÌ TEM NHÃN PHONG UYÊN,NHANPHONGNGUYEN,Company,,Việt Nam,,VND,2803189074,"SN 450, Thôn Thịnh Lạc, Xã Thắng Lợi, Thanh Hóa",,0
KH-00247,CHI NHÁNH CÔNG TY TNHH SẢN XUẤT DƯỢC MỸ PHẨM NHẬT HÀN,NHATHAN,Company,,Việt Nam,,VND,0314594989-001,"ấp 1, Xã Mỹ An, Tây Ninh",,0
KH-00248,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI NHẬT KHẢI,NHATKHAI,Company,,Việt Nam,,VND,0319285039,"Số 26 Đường Mai Văn Vĩnh, Phường Tân Hưng, TP Hồ Chí Minh",,0
KH-00249,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI MAI NHƯ KHÁNH,NHUKHANH,Company,,Việt Nam,,VND,2803161248,"Số nhà 35, Thôn Hoàng Giang, Xã An Nông, Thanh Hóa",,0
KH-00250,CÔNG TY TNHH XUẤT NHẬP KHẨU COMPACT HPL NAM Á,NICE ONE,Company,,Việt Nam,,VND,,"Xóm 2 , Thôn Miếu Môn ,Xã Trần Phú ,tp Hà Nội",,0
KH-00251,CÔNG TY TNHH CUNG ỨNG DỊCH VỤ HLC VIỆT NAM,OBEN,Company,,Việt Nam,,VND,,"Ki ốt số 40 B2.1-HH03B, Khu Đô Thị Thanh Hà-Cienco 5, Xã Bình Minh, Thành phố Hà Nội, Việt Nam",,0
KH-00252,CÔNG TY TNHH SX-KD-TM HÓA PHẨM OKEY,OKEY,Company,,Việt Nam,,VND,,"449, phường Ninh thạnh , tỉnh Tây ninh",,0
KH-00253,CPSX TM ORA VIỆT NAM,ORA,Company,,Việt Nam,,VND,,"38 đường D9, Phường Tây Thạnh TP HCM",,0
KH-00254,CÔNG TY TNHH SẢN XUẤT VÀ THƯƠNG MẠI PL VIỆT NAM,OWAY,Company,,Việt Nam,,VND,,"Số 5/11 Phố Văn La, Phú La, Hà Đông, TP. Hà Nội",,0
KH-00255,Nguyễn Thị Thanh Phương,OXY,Company,,Việt Nam,,VND,,"Cam ranh , Khánh Hoà",,0
KH-00256,CÔNG TY TNHH V2G PACKAGING,PACKAGING,Company,,Việt Nam,,VND,0317627470,"Lô 3 tầng 5, Tòa nhà Genpacific, Đường số 16, CVPM Quang Trung, Phường Trung Mỹ Tây, TP Hồ Chí Minh",,0
KH-00257,CÔNG TY CỔ PHẦN CARITAS FRUITS,PAPEKHONGIN,Company,,Việt Nam,,VND,0318751671,"Tầng 14, Toà nhà HM Town, Số 412 Đường Nguyễn Thị Minh Khai, Phường Bàn Cờ, TP Hồ Chí Minh",,0
KH-00258,CÔNG TY TNHH  IN LEE LABEL VINA,PE POLY LEE LABEL VINA,Company,,Việt Nam,,VND,3702717403,"Lô N2, đường số 14B, khu công nghiệp Việt Hương, Phường Thuận Giao, TP Hồ Chí Minh",,0
KH-00259,Phế liệu,PHẾ Liệu,Company,,Việt Nam,,VND,,,,1
KH-00260,Công ty TNHH SX Nệm Phong Nguyên,PHONG NGUYEN,Company,,Việt Nam,,VND,,"79H Đỗ ngọc thạnh, phường 15, quận 5, TP.HCM",,0
KH-00261,CÔNG TY TNHH SẢN XUẤT THƯƠNG MẠI PHONG TÍN,PHONG TIN,Company,,Việt Nam,,VND,1001271269,"Số nhà 93, Đường 16, Thôn Đông, Xã Sóc Sơn, TP Hà Nội",,0
KH-00262,CÔNG TY TNHH PHÚC KHANG HP,PHUCKHANGHP,Company,,Việt Nam,,VND,,"Thôn 8 , Xã Tiên Lãng , Thành phố Hải Phòng , VN",,0
KH-00263,PHÒNG KHÁM CHUYÊN KHOA NHI – BÌNH PHƯỚC,KHOA NHI – Bình Phước,Company,,Việt Nam,,VND,,"28 Nguyễn Ngọc Lộc, P.6, Quận 10, TPHCM",,0
