bom_no,item_code,item_name,qty,uom,scrap_pct,note
BOM-BTP-00005-001,NVL-00032,PET in NGCS Hồng - Xanh,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00005-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00005-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00005-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00005-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00005-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00006-001,NVL-00033,PET in Minh Râu Tím,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00006-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00006-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00006-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00006-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00006-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00007-001,NVL-00034,PET in TopGia 2L,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00007-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00007-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00007-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00007-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00007-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00008-001,NVL-00035,PET in Softy 3L,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00008-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00008-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00008-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00008-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00008-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00009-001,NVL-00036,PET in FUTA Xanh MT,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00009-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00009-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00009-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00009-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00009-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00010-001,NVL-00037,PET in FUTA Xanh MS,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00010-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00010-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00010-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00010-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00010-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00011-001,NVL-00038,PET in FUTA Tím MT,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00011-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00011-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00011-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00011-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00011-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00012-001,NVL-00039,PET in FUTA Tím MS,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00012-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00012-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00012-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00012-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00012-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
BOM-BTP-00013-001,NVL-00028,PET in 888 - Phấn Thơm,1020.0,m,2.0,Lớp màng ngoài in ống đồng
BOM-BTP-00013-001,NVL-00009,PA K800 15mic,13.9,Kg,2.0,Lớp màng rào cản PA dẻo dai
BOM-BTP-00013-001,NVL-00004,PE sữa K750 190mic,135.2,Kg,2.0,Lớp màng hàn dán trong cùng
BOM-BTP-00013-001,NVL-00025,Keo D-9700,3.6,Kg,3.0,Định mức keo ghép 2 lớp màng
BOM-BTP-00013-001,NVL-00026,Chất Đóng Rắn CL-3192K,0.72,Kg,3.0,Chất đóng rắn Isocyanate
BOM-BTP-00013-001,NVL-00027,Dung Môi Ethyl Acetate,5.4,Kg,5.0,Dung môi pha keo ghép màng khô
