item_code,item_name,custom_alias,item_group,stock_uom,brand,default_material_request_type,standard_rate,min_order_qty,safety_stock,disabled,is_stock_item,is_sales_item,is_purchase_item,custom_structure_layers,custom_thickness_mic,custom_film_width_mm,custom_pouch_width_mm,custom_pouch_length_mm,custom_gusset_mm,custom_cut_length_mm,custom_print_tech,custom_accessory_spec,custom_cylinder_item,custom_cylinder_code,custom_cylinder_length_mm,custom_cylinder_circ_mm,custom_cylinder_qty,custom_cylinder_location,description
TRUC-G630757,TÚI HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI 500G,Trục HƯỚNG DƯƠNG SẠCH RANG CỦI LOẠI 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630757,800,420,6,VẠN PHÁT,
TRUC-G629977,TÚI CƠM CHÁY CHÀ BÔNG TÀI PHƯƠNG,Trục CƠM CHÁY CHÀ BÔNG TÀI PHƯƠNG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G629977,800,500,3,VẠN PHÁT,
TRUC-G631221,TÚI BÁNH WAWEL,Trục BÁNH WAWEL,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631221,800,440,1,VẠN PHÁT,
TRUC-G630072,CUỘN MÀNG BỘT MINH CHÂU,Trục Cuộn MÀNG BỘT MINH CHÂU,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G630072,900,420,2,VẠN PHÁT,
TRUC-G631016,TÚI BÁNH SOLIDARNOSC,Trục BÁNH SOLIDARNOSC,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631016,800,480,1,VẠN PHÁT,
TRUC-G627906,TÚI SỮA ĐẬU NÀNH,Trục SỮA ĐẬU NÀNH,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G627906,900,440,3,VẠN PHÁT,
TRUC-G631015,TÚI BÁNH FEODORA,Trục BÁNH FEODORA,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G631015,900,540,1,VẠN PHÁT,
TRUC-Z416438,TÚI ỐC COOKED WHOLE WHELK 1KG ( ZIPPER - KT 23.5*28),Trục ỐC COOKED WHOLE WHELK 1KG,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416438,750,474,7,VẠN PHÁT,
TRUC-Z416476,TÚI SỐT GIA VỊ IN 8 MÀU ( 2 MẪU/ TRỤC - PHỞ GÀ - NƯỚC CỐT HEO),Trục SỐT GIA VỊ IN 8 MÀU,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416476,750,480,9,VẠN PHÁT,
TRUC-Z433654,TÚI ĐỰNG DA CÁ SẤY KHÔ 100G ( ZIPPER ĐÁY ĐỨNG - IN PHỦ MỜ - KT : 18*26CM),Trục ĐỰNG DA CÁ SẤY KHÔ 100G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433654,720,546,6,VẠN PHÁT,
TRUC-Z416475,TÚI SỐT GIA VỊ IN 7 MÀU (2 MẪU/TRỤC - PHỞ BÒ - BÚN BÒ HUẾ) TRỤC CŨ,Trục SỐT GIA VỊ IN 7 MÀU TRỤC CŨ,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416475,750,480,7,VẠN PHÁT,
TRUC-Z434004,"MÀNG "" NƯỚC CỐT HEO "" IN 8 MÀU 138G (KT 24CM)","Trục Màng "" NƯỚC CỐT HEO "" IN 8 MÀU 138G",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z434004,700,510,8,VẠN PHÁT,
TRUC-Z434003,"MÀNG "" NƯỚC CỐT PHỞ GÀ "" IN 7 MÀU 138G (KT 24CM)","Trục Màng "" NƯỚC CỐT PHỞ GÀ "" IN 7 MÀU 138G",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z434003,700,510,7,VẠN PHÁT,
TRUC-Z416685,"TÚI ĐỰNG SÒ ĐIỆP ""WHOLE SHELL SCALLOPS"" 1KG IN 7 MÀU (ZIPPER - KT 27*33CM)","Trục ĐỰNG SÒ ĐIỆP ""WHOLE SHELL SCALLOPS"" 1KG IN 7 MÀU",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416685,750,540,7,VẠN PHÁT,
TRUC-Z435796,TÚI ĐỰNG CHẢ CÁ CHIÊN NGỌC LIÊN 450G - IN 8 MÀU (NỀN CAM - KT 21*31CM),Trục ĐỰNG CHẢ CÁ CHIÊN NGỌC LIÊN 450G IN 8 MÀU,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z435796,700,424,8,VẠN PHÁT,
TRUC-Z416686,"TÚI ĐỰNG ỐC "" BULOT WHELK - IRELAND"" 1KG IN 8 MÀU (ZIPPER - KT 24*33CM)","Trục ĐỰNG ỐC "" BULOT WHELK IRELAND"" 1KG IN 8 MÀU",Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416686,750,540,8,VẠN PHÁT,
TRUC-Z436110,TÚI ĐỰNG BỘT PHÔ MAI HOA MỸ KÝ - IN 6 MÀU (KT 14*31CM),Trục ĐỰNG BỘT PHÔ MAI HOA MỸ KÝ IN 6 MÀU,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z436110,650,620,6,VẠN PHÁT,
TRUC-Z434196,CUỘN MÀNG KEM HOA VÀNG - SOCOLA ( IN 5 MÀU KHỔ 17CM),Trục Cuộn Kem Hoa Vang Socola 17cm,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z434196,650,570,5,VẠN PHÁT,
TRUC-Z435698,CUỘN MÀNG KEM HOA VÀNG - SẦU RIÊNG ( IN 5 MÀU KHỔ 17CM),Trục Cuộn Kem Hoa Vang Sau Rieng 17cm,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z435698,650,570,5,TRANG TÍN,
TRUC-Z439843,CUỘN MÀNG KEM HOA VÀNG - TRÁI CÂY TƯƠI ( IN 5 MÀU KHỔ 17CM),Trục Cuộn Kem Hoa Vang Trai Cay 17cm,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z439843,650,570,5,VẠN PHÁT,
TRUC-Z437016,TÚI ĐỰNG HẠT SÁP WAX LÔNG-NWAXING 100G ( IN PHỦ MỜ - ZIPPER - KT 12*19CM),Trục Dung Hat Sap Nwaxing 100g,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z437016,700,488,4,VẠN PHÁT,
TRUC-00070,TÚI ĐỰNG HẠT SÁP WAX LÔNG-NWAXING 500G ( IN PHỦ MỜ - ZIPPER - KT 18*26CM),Trục Dung Hat Sap Nwaxing 500g,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,,700,546,4,VẠN PHÁT,
TRUC-G614772,TÚI NEM HOÀNG TÚ - IN 5 MÀU (MÀU ĐỎ - KT 12 x 28.5CM),Trục Tui Nem Hoang Tu Do,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G614772,805,575,5,VẠN PHÁT,
TRUC-G612128,TÚI CHẢ LỤA HOÀNG TÚ - IN 6 MÀU (KT 16.5 x 26CM - NỀN ĐỎ),Trục Tui Cha Lua Hoang Tu,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G612128,750,525,6,VẠN PHÁT,
TRUC-Z433493,TÚI CHẢ LỤA HOÀNG TÚ IN 6 MÀU 500G (NỀN ĐỎ),Trục CHẢ LỤA HOÀNG TÚ IN 6 MÀU 500G,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z433493,650,501,6,VẠN PHÁT,
TRUC-Z416845,TÚI HẠT ĐIỀU CASHEW NUTS - NỀN XANH LÁ ( ĐÁY ĐỨNG - ZIPPER - IN PHỦ MỜ - KT 22*28CM),Trục HẠT ĐIỀU CASHEW NUTS NỀN XANH LÁ,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z416845,800,444,7,VẠN PHÁT,
TRUC-G125806G2,TÚI PHÂN BÓN GULLER ORCHIDS IN 8  MÀU ( ZIPPER - ĐÁY ĐỨNG - KT 14*19CM),Trục PHÂN BÓN GULLER ORCHIDS IN 8 MÀU,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G125806G2,1060,420,6,VẠN PHÁT,
TRUC-G612508,TÚI NEM HOÀNG TÚ - IN 5 MÀU (MÀU XANH - KT 12 * 28.5CM),Trục Tui Nem Hoang Tu Xanh,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,G612508,805,575,5,VẠN PHÁT,
TRUC-Z417577,TÚI MỒI CÂU T5-MỒI RÔ PHI SIÊU CẤP (KT 16*22CM),Trục Tui Moi Cau Ro Phi 16x22,Trục In Ống Đồng,Cây,,Purchase,0,0,0,0,1,0,0,,0,0,0,0,0,0,Không in,,,Z417577,750,440,7,VẠN PHÁT,
